drawdate,ball1,ball2,ball3,ball4,ball5,megaball,megaplier,jackpot_estimated,jackpot_winner
05/24/2019,14 , 41 , 44 , 56 , 62,10,2,393000000.0,N
05/21/2019,10 , 50 , 55 , 56 , 58,15,5,367000000.0,N
05/17/2019,5 , 17 , 28 , 32 , 63,11,3,339000000.0,N
05/14/2019,11 , 59 , 66 , 67 , 68,18,4,316000000.0,N
05/10/2019,3 , 16 , 21 , 61 , 62,19,2,295000000.0,N
05/07/2019,3 , 6 , 34 , 54 , 63,19,3,273000000.0,N
05/03/2019,8 , 16 , 22 , 66 , 68,11,2,252000000.0,N
04/30/2019,24 , 37 , 41 , 61 , 70,20,3,229000000.0,N
04/26/2019,9 , 17 , 23 , 30 , 46,10,4,212000000.0,N
04/23/2019,7 , 24 , 30 , 48 , 67,9,4,192000000.0,N
04/19/2019,18 , 25 , 43 , 44 , 57,25,4,175000000.0,N
04/16/2019,11 , 29 , 34 , 48 , 54,10,2,157000000.0,N
04/12/2019,1 , 24 , 25 , 40 , 70,4,2,140000000.0,N
04/09/2019,11 , 22 , 34 , 44 , 58,9,2,120000000.0,N
04/05/2019,8 , 22 , 24 , 38 , 64,21,2,104000000.0,N
04/02/2019,33 , 47 , 58 , 59 , 64,25,3,88000000.0,N
03/29/2019,5 , 14 , 15 , 62 , 66,3,3,75000000.0,N
03/26/2019,4 , 14 , 22 , 43 , 58,9,3,57000000.0,N
03/22/2019,7 , 36 , 58 , 60 , 62,10,3,50000000.0,N
03/19/2019,10 , 42 , 53 , 67 , 68,15,3,45000000.0,N
03/15/2019,3 , 29 , 56 , 62 , 64,4,3,40000000.0,N
03/12/2019,10 , 12 , 16 , 49 , 57,18,4,50000000.0,Y
03/08/2019,4 , 9 , 42 , 62 , 68,7,4,45000000.0,N
03/05/2019,15 , 20 , 32 , 37 , 52,6,3,40000000.0,N
03/01/2019,29 , 33 , 39 , 60 , 66,21,2,267000000.0,Y
02/26/2019,10 , 12 , 14 , 24 , 60,20,3,245000000.0,N
02/22/2019,18 , 24 , 31 , 34 , 55,4,4,224000000.0,N
02/19/2019,17 , 24 , 34 , 56 , 65,3,2,206000000.0,N
02/15/2019,10 , 38 , 40 , 43 , 65,12,2,190000000.0,N
02/12/2019,15 , 32 , 39 , 50 , 65,7,3,173000000.0,N
02/08/2019,14 , 24 , 31 , 42 , 48,13,3,157000000.0,N
02/05/2019,3 , 34 , 36 , 59 , 66,7,2,139000000.0,N
02/01/2019,2 , 37 , 48 , 66 , 68,11,5,125000000.0,N
01/29/2019,10 , 33 , 53 , 54 , 62,22,2,109000000.0,N
01/25/2019,8 , 16 , 30 , 38 , 61,10,2,96000000.0,N
01/22/2019,4 , 15 , 37 , 59 , 64,16,5,82000000.0,N
01/18/2019,2 , 43 , 48 , 62 , 64,24,3,68000000.0,N
01/15/2019,29 , 52 , 58 , 60 , 62,7,2,55000000.0,N
01/11/2019,4 , 5 , 31 , 62 , 69,20,3,50000000.0,N
01/08/2019,13 , 26 , 29 , 38 , 64,5,5,45000000.0,N
01/04/2019,21 , 29 , 35 , 54 , 60,15,4,40000000.0,N
01/01/2019,34 , 44 , 57 , 62 , 70,14,4,425000000.0,Y
12/28/2018,9 , 10 , 25 , 37 , 38,21,2,370000000.0,N
12/25/2018,2 , 8 , 42 , 43 , 50,6,3,321000000.0,N
12/21/2018,10 , 13 , 61 , 62 , 70,5,3,305000000.0,N
12/18/2018,13 , 22 , 32 , 60 , 69,9,3,284000000.0,N
12/14/2018,5 , 22 , 26 , 43 , 49,23,4,262000000.0,N
12/11/2018,4 , 38 , 39 , 54 , 59,12,2,245000000.0,N
12/07/2018,4 , 10 , 20 , 33 , 57,13,3,226000000.0,N
12/04/2018,28 , 31 , 41 , 42 , 50,4,3,208000000.0,N
11/30/2018,25 , 28 , 40 , 43 , 63,19,3,190000000.0,N
11/27/2018,12 , 24 , 37 , 42 , 57,18,4,172000000.0,N
11/23/2018,7 , 10 , 30 , 33 , 59,23,4,155000000.0,N
11/20/2018,10 , 16 , 31 , 42 , 66,10,3,139000000.0,N
11/16/2018,33 , 36 , 63 , 68 , 69,16,3,122000000.0,N
11/13/2018,34 , 46 , 57 , 65 , 69,11,3,106000000.0,N
11/09/2018,8 , 14 , 27 , 57 , 67,5,4,90000000.0,N
11/06/2018,28 , 34 , 37 , 56 , 69,12,2,70000000.0,N
11/02/2018,3 , 23 , 28 , 46 , 62,16,2,52000000.0,N
10/30/2018,20 , 31 , 39 , 46 , 49,23,2,45000000.0,N
10/26/2018,1 , 28 , 61 , 62 , 63,5,4,40000000.0,N
10/23/2018,5 , 28 , 62 , 65 , 70,5,3,1600000000.0,Y
10/19/2018,15 , 23 , 53 , 65 , 70,7,2,1000000000.0,N
10/16/2018,3 , 45 , 49 , 61 , 69,9,5,667000000.0,N
10/12/2018,4 , 24 , 46 , 61 , 70,7,3,548000000.0,N
10/09/2018,20 , 22 , 39 , 54 , 60,18,3,470000000.0,N
10/05/2018,27 , 28 , 32 , 41 , 69,12,2,420000000.0,N
10/02/2018,2 , 22 , 29 , 31 , 34,1,3,367000000.0,N
09/28/2018,39 , 45 , 52 , 56 , 59,15,3,336000000.0,N
09/25/2018,8 , 16 , 32 , 48 , 61,12,2,303000000.0,N
09/21/2018,1 , 2 , 11 , 52 , 64,9,4,275000000.0,N
09/18/2018,31 , 32 , 43 , 63 , 68,17,2,252000000.0,N
09/14/2018,23 , 30 , 40 , 43 , 66,13,4,227000000.0,N
09/11/2018,15 , 30 , 51 , 62 , 67,19,2,207000000.0,N
09/07/2018,8 , 10 , 41 , 54 , 68,10,2,187000000.0,N
09/04/2018,2 , 7 , 25 , 35 , 44,3,3,167000000.0,N
08/31/2018,7 , 18 , 29 , 32 , 45,17,3,152000000.0,N
08/28/2018,3 , 20 , 33 , 34 , 41,20,3,134000000.0,N
08/24/2018,1 , 6 , 13 , 18 , 49,8,2,118000000.0,N
08/21/2018,14 , 16 , 19 , 38 , 57,11,3,102000000.0,N
08/17/2018,1 , 31 , 32 , 47 , 56,3,2,88000000.0,N
08/14/2018,11 , 26 , 44 , 45 , 46,11,2,75000000.0,N
08/10/2018,1 , 3 , 12 , 22 , 42,6,5,63000000.0,N
08/07/2018,2 , 13 , 15 , 21 , 62,2,5,55000000.0,N
08/03/2018,9 , 28 , 30 , 54 , 60,2,2,50000000.0,N
07/31/2018,12 , 15 , 35 , 64 , 69,9,2,45000000.0,N
07/27/2018,1 , 32 , 40 , 49 , 63,20,3,40000000.0,N
07/24/2018,1 , 2 , 4 , 19 , 29,20,3,522000000.0,Y
07/20/2018,1 , 14 , 30 , 44 , 62,1,2,433000000.0,N
07/17/2018,40 , 41 , 61 , 66 , 67,12,5,375000000.0,N
07/13/2018,21 , 22 , 39 , 59 , 68,2,2,340000000.0,N
07/10/2018,1 , 17 , 28 , 56 , 70,14,3,306000000.0,N
07/06/2018,2 , 10 , 46 , 50 , 56,16,3,283000000.0,N
07/03/2018,13 , 35 , 45 , 49 , 68,23,2,256000000.0,N
06/29/2018,2 , 32 , 47 , 49 , 68,23,4,232000000.0,N
06/26/2018,17 , 25 , 29 , 39 , 60,19,2,212000000.0,N
06/22/2018,2 , 6 , 11 , 27 , 44,20,2,192000000.0,N
06/19/2018,11 , 13 , 28 , 65 , 70,14,3,175000000.0,N
06/15/2018,1 , 11 , 37 , 47 , 51,6,2,161000000.0,N
06/12/2018,1 , 3 , 5 , 8 , 70,3,2,144000000.0,N
06/08/2018,14 , 30 , 33 , 44 , 56,13,2,127000000.0,N
06/05/2018,22 , 33 , 41 , 48 , 52,4,2,110000000.0,N
06/01/2018,5 , 24 , 52 , 62 , 66,17,3,97000000.0,N
05/29/2018,2 , 11 , 55 , 58 , 67,2,3,84000000.0,N
05/25/2018,11 , 14 , 51 , 64 , 68,25,4,73000000.0,N
05/22/2018,16 , 17 , 21 , 36 , 48,9,3,60000000.0,N
05/18/2018,9 , 26 , 53 , 64 , 66,11,2,55000000.0,N
05/15/2018,21 , 34 , 44 , 49 , 61,21,2,50000000.0,N
05/11/2018,14 , 38 , 40 , 53 , 70,22,3,45000000.0,N
05/08/2018,8 , 15 , 39 , 64 , 67,13,2,40000000.0,N
05/04/2018,4 , 5 , 10 , 12 , 18,21,4,143000000.0,Y
05/01/2018,2 , 7 , 20 , 55 , 70,1,4,126000000.0,N
04/27/2018,2 , 29 , 38 , 63 , 66,11,2,111000000.0,N
04/24/2018,3 , 19 , 31 , 32 , 48,10,3,96000000.0,N
04/20/2018,1 , 15 , 18 , 32 , 45,4,2,80000000.0,N
04/17/2018,12 , 34 , 44 , 47 , 65,22,4,67000000.0,N
04/13/2018,8 , 9 , 32 , 42 , 59,10,4,55000000.0,N
04/10/2018,5 , 13 , 31 , 43 , 53,20,2,50000000.0,N
04/06/2018,16 , 33 , 51 , 54 , 67,20,4,45000000.0,N
04/03/2018,4 , 29 , 39 , 42 , 62,14,2,40000000.0,N
03/30/2018,11 , 28 , 31 , 46 , 59,1,3,521000000.0,Y
03/27/2018,7 , 25 , 43 , 56 , 59,13,3,458000000.0,N
03/23/2018,4 , 8 , 23 , 53 , 59,17,3,421000000.0,N
03/20/2018,14 , 38 , 51 , 64 , 70,9,3,377000000.0,N
03/16/2018,1 , 13 , 26 , 33 , 52,11,3,345000000.0,N
03/13/2018,6 , 30 , 58 , 60 , 61,17,5,318000000.0,N
03/09/2018,7 , 17 , 18 , 46 , 66,22,4,290000000.0,N
03/06/2018,1 , 4 , 26 , 35 , 39,22,5,265000000.0,N
03/02/2018,24 , 28 , 42 , 60 , 64,8,4,243000000.0,N
02/27/2018,10 , 17 , 21 , 38 , 43,23,3,222000000.0,N
02/23/2018,7 , 11 , 13 , 19 , 58,9,4,204000000.0,N
02/20/2018,17 , 19 , 23 , 24 , 43,14,3,185000000.0,N
02/16/2018,14 , 38 , 48 , 53 , 58,16,3,168000000.0,N
02/13/2018,5 , 12 , 15 , 46 , 49,1,4,153000000.0,N
02/09/2018,28 , 34 , 41 , 46 , 47,14,3,136000000.0,N
02/06/2018,14 , 17 , 25 , 48 , 58,25,3,120000000.0,N
02/02/2018,1 , 4 , 14 , 17 , 40,4,3,104000000.0,N
01/30/2018,29 , 41 , 42 , 49 , 57,24,3,89000000.0,N
01/26/2018,10 , 16 , 27 , 38 , 43,1,4,76000000.0,N
01/23/2018,2 , 6 , 30 , 31 , 55,7,4,63000000.0,N
01/19/2018,3 , 17 , 23 , 49 , 66,23,3,55000000.0,N
01/16/2018,3 , 11 , 23 , 29 , 59,18,3,50000000.0,N
01/12/2018,17 , 18 , 33 , 46 , 60,24,4,45000000.0,N
01/09/2018,16 , 29 , 31 , 65 , 67,23,3,40000000.0,N
01/05/2018,28 , 30 , 39 , 59 , 70,10,3,450000000.0,Y
01/02/2018,1 , 42 , 47 , 64 , 70,22,4,361000000.0,N
12/29/2017,4 , 10 , 18 , 28 , 62,7,2,306000000.0,N
12/26/2017,10 , 12 , 20 , 38 , 41,25,4,277000000.0,N
12/22/2017,1 , 20 , 30 , 33 , 42,16,4,253000000.0,N
12/19/2017,28 , 37 , 39 , 42 , 58,2,3,223000000.0,N
12/15/2017,4 , 12 , 36 , 44 , 57,19,4,208000000.0,N
12/12/2017,8 , 23 , 24 , 25 , 27,9,2,191000000.0,N
12/08/2017,6 , 37 , 46 , 60 , 70,24,2,176000000.0,N
12/05/2017,14 , 15 , 37 , 42 , 67,22,4,160000000.0,N
12/01/2017,16 , 22 , 40 , 41 , 59,8,4,145000000.0,N
11/28/2017,10 , 17 , 47 , 51 , 61,5,2,132000000.0,N
11/24/2017,16 , 36 , 54 , 61 , 64,22,3,119000000.0,N
11/21/2017,3 , 7 , 22 , 27 , 50,3,3,106000000.0,N
11/17/2017,3 , 26 , 55 , 58 , 70,15,4,95000000.0,N
11/14/2017,1 , 14 , 21 , 22 , 28,19,3,82000000.0,N
11/10/2017,6 , 23 , 38 , 42 , 58,24,2,71000000.0,N
11/07/2017,1 , 54 , 60 , 68 , 69,11,4,59000000.0,N
11/03/2017,10 , 22 , 42 , 61 , 69,3,2,48000000.0,N
10/31/2017,6 , 28 , 31 , 52 , 53,12,4,40000000.0,N
